,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,target
10611,36.0,82999.64,7156.636666666666,5,7,8,2.0,10,5.0,2.53,2.0,1495.36,34.17462722918348,18.0,104.57723559704674,660.706,220.381,1
65629,25.0,15476.64,1174.72,0,4,1,3.0,15,10.0,11.57,1.0,1285.01,32.934078733645094,23.833,35.68135813307475,149.486,222.304,0
5420,43.0,20133.61,3093.745000000001,8,7,18,6.0,12,14.0,8.1,5.0,1265.65,30.170642509177192,13.167,54.97308367155193,111.231,290.976,0
40295,53.0,76476.66,6536.055,1,2,10,-100.0,-2,4.0,-1.22,3.0,1020.69,36.34605180147659,21.0,108.96136829216356,10000.0,507.492,2
4150,22.0,134150.0,10886.166666666666,4,3,10,2.0,13,1.0,1.51,6.0,1295.2,33.79251420934288,18.25,201.7341927507147,641.401,505.481,1
39828,31.0,30661.16,2338.096666666667,4,5,15,3.0,10,17.0,12.61,5.0,1346.55,39.05874357877738,21.583,52.38766844121764,138.06,313.362,1
31254,26.0,54811.56,4510.63,4,5,11,6.0,28,12.0,11.74,8.0,2170.62,28.12264786327744,18.25,171.34139979515905,160.76,368.961,1
16665,23.0,19234.69,1492.8908333333331,5,5,6,2.0,20,15.0,9.83,4.0,844.75,30.97402307393599,22.917,20.51111522654662,82.135,336.643,1
36121,20.0,37679.14,3267.9283333333333,10,6,17,5.0,36,18.0,28.42,7.0,4857.87,30.400050604983115,18.25,95.41117062152838,160.619,330.763,1
28625,47.0,78039.48,6236.29,5,7,4,4.0,21,17.0,2.59,1.0,1188.91,38.25219780393807,28.5,236.23961596593352,170.741,476.648,2
68656,45.0,17324.7,1273.725,9,8,26,5.0,31,25.0,7.91,8.0,1656.28,26.31619960490805,18.25,47.30995958523498,74.89,285.172,0
14337,34.0,172891.36,14156.613333333333,3,7,1,3.0,3,4.0,9.4,3.0,922.15,34.57487035182029,26.917,272.81222584868823,333.421,1059.428,2
45072,41.0,8128.965,688.41375,8,7,18,6.0,29,17.0,9.63,11.0,1973.0,28.15442208226093,8.583,33.013906376919785,23.164,292.663,0
2533,47.0,5444147.0,1698.773333333333,4,4,6,0.0,13,14.0,3.22,0.0,1247.3,36.654388186069056,20.333,0.0,129.506,330.371,2
43400,34.0,50778.48,4501.54,6,6,18,7.0,23,13.0,13.52,6.0,1554.93,32.27688529411966,16.917,152.95704567550013,351.031,236.166,0
53217,22.0,57101.1,4668.425,7,4,12,1.0,8,16.0,2.3,4.0,1303.28,34.074800237092326,25.25,29.448509955965857,124.537,562.857,2
3999,41.0,64057.72,5082.143333333333,2,5,8,1.0,7,2.0,11.91,3.0,795.69,32.887124344899966,18.25,35.013700520833424,245.141,488.06,2
33219,44.0,41015.31,3585.9425,3,2,1,2.0,6,14.0,11.32,2.0,1432.22,39.8789715119942,18.25,41.53546802014437,135.926,499.551,2
